"id","nombre_ingre","imagen"
2,zanahorias,ingredientes/ingre_15920974205ee57a8ce1cc7.png
3,aguacate,ingredientes/ingre_15920989415ee5807d736a4.png
4,frijoles,ingredientes/ingre_15928896985ef19162a80c8.jpg
5,nopales,
6,ajonjolí ,ingredientes/ingre_15926233095eed80cdb72aa.jpg
7,aceite de oliva,ingredientes/ingre_15926232575eed80998b605.jpg
8,cilantro,ingredientes/ingre_15926235455eed81b950fb2.jpg
9,brocoli,ingredientes/ingre_15920989265ee5806ea6805.png
10,chile piquín ,ingredientes/ingre_15926235195eed819fd165a.jpg
11,espinacas,ingredientes/ingre_15926236715eed82376211a.jpg
12,sal de mar,
13,sal del himalaya,
14,jitomate,
16,cebolla morada,ingredientes/ingre_15926234335eed8149e8832.jpg
17,hongo setas,ingredientes/ingre_15920989525ee58088b6fda.jpg
18,pimiento morrón verde,
19,pimiento morrón rojo,
20,pimiento morrón rojo o verde,
21,pimiento  morrón amarillo,
22,papalo quelite ,
23,fresas,ingredientes/ingre_15926237645eed8294b3e74.JPG
24,plátano,
25,azúcar,ingredientes/ingre_15926233575eed80fd7b94f.jpg
27,frambuesas,ingredientes/ingre_15926237085eed825c3fb6a.jpg
28,leche de coco,
29,leche de almendras,
30,leche de arroz,
31,huevo,
35,berros,ingredientes/ingre_15928896465ef1912eda415.png
36,cereal de caja,ingredientes/ingre_15926221615eed7c519f6f7.png
37,leche de vaca,
39,rábano,
41,pasas,
42,salmón,
43,acelga,
44,tortillas,
45,pechuga de pavo,
46,ajo,
47,pimienta,
48,orégano,
49,queso oaxaca,
50,queso panela,
51,queso philadelphia,
52,pepita de calabaza,
53,hot cakes,
54,pan pita,
55,naranja,
56,papaya,
57,melón,
58,mango,
59,cacao,
60,chocolate en barra,
61,apio,
62,berenjena ,
63,calabaza,
64,pimiento verde,
65,pimiento rojo,
66,pimiento de color,
67,chile poblano,
68,blueberrys,
69,arándanos,
70,higo,
71,epazote,
72,quelites diversos,
73,surimi,
74,pescado róbalo,
75,filete de pescado a elegir,
76,pechuga de pollo,
77,hummus garbanzo,
78,pepino,
79,pan de centeno,
80,pan integral,
81,pan de 12 granos,
82,jitomate cherry,
83,cebollita cambray,
84,pan tostado,
85,tortilla de harina,
86,tortilla de nopal,
87,atún,
88,germinado de alfalfa,
89,germinado de lenteja,
90,germinado libre,
91,arroz,
92,perejil,
94,ejotes,
95,guayaba,
96,hierbas de olor,
97,lechuga,
98,vinagre balsámico,
99,tofu,
100,carne molida,
101,chile verde serrao,
102,chile verde jalapeño,
103,tomate verde,
104,coliflor,
105,champiñones,
106,sopa de pasta,
107,fideos,
108,espagueti,
109,pasta rotini,
110,queso feta,
111,limón,
112,espárragos,
113,jamón de pavo,
114,almendras,
115,nuez,
116,vinagre blanco,
117,vinagre de manzana,
118,papas,
119,jengibre,
120,cúrcuma,
121,aceituna,
123,bistec,
124,flor de calabaza,
125,jamaica,
126,jicama,
128,queso mozzarella,
130,camarones,
131,mermelada ,
132,carne deshebrada,
133,tostada,
134,totopos,
135,salmas,
136,jamón serrano,
137,albahaca,
138,romero,
139,comino,
140,pimienta gorda,
141,tomillo,
142,amaranto,
143,salsa pesto,
144,chile habanero,
145,chila maya xcat ik,
146,jocoque,
147,yogurth,
148,kéfir,
149,avena,
150,pera,
151,moras,
152,coco,
153,arúgula,
154,mandarina,
155,pollo en fajitas,
156,carne de pollo,
157,piña,
158,queso de cabra,
159,toronja,
160,sandía,
161,chía,
162,quinoa,
163,queso cottage,
164,piñones,
165,granola,
166,crema de cacahuate,
167,arroz integral,
168,semilas de girasol,
169,soful,
171,ensaladas,
172,sandwiches,
173,cebolla blanca,
175,manzana,
176,menta,
177,hierbabuena,
179,hielo,
180,café,
181,matcha en polvo,
182,carne de cerdo,
183,achiote,
184,sal clásica,
186,aceitunas negras,
187,queso brie,
188,queso emmental,
189,queso gouda,
190,queso gruyere,
191,queso parmesano,
193,agua de coco,
195,linaza,
196,agua natural,
199,chile guajillo,
200,chícharos,
202,filete de pescado,
204,pescado para ceviche,
205,mojarra,
206,ostiones,
207,semillas de calabaza,
208,pepitas,
209,queso manchego,
210,mole,
211,pollo desehebrado,
213,medallón de pollo,
214,medallón de cerdo,
215,medallón de res,
216,chuleta de cerdo,
219,tamal,
220,bolillo,
221,pan dulce,
222,pan de caja,
223,verdolaga,
224,quelites,
225,aceite de coco,
226,pepino con cáscara,
227,manzana verde,
228,manzana roja,
229,manzana amarilla,
230,papa,
232,chayote,
233,galletas saladas,
236,tostado,
237,clavo,
238,canela,
240,hojas de plátano,
241,hoja santa,
242,pan hotdog,
243,pan hamburguesa,
244,anis estrella,
245,hojas de laurel,
246,manzanilla,
