"id","nombre_super","imagen_super"
1,Oxxo,supers/oxxo.jpg
2,Sams,supers/sams.png
3,Costco,supers/costco.jpg
4,Superama,supers/superama.jpg
5,Walmart,supers/walmart.jpg
124,Comercial Mexicana,supers/super_143723594255aa7ae68a72b.png
125,City Market,supers/super_143881729155c29c0b6a2b3.jpg
128,Tiendita ,supers/super_144052901855dcba7aa8ec2.png
129,Liverpool,supers/super_145073328756786ee7b49d3.jpg
130,El Palacio De Hierro,supers/super_145073335756786f2dd9c52.jpg
131,Nutrisa,supers/super_145073352256786fd2ec7a0.jpg
132,Chedraui,supers/super_145073355856786ff634636.jpg
133,Chedraui Selecto,supers/super_145073358456787010551ae.jpg
134,Office Depot,supers/super_145073368956787079bda1e.jpg
135,Best Buy,supers/super_1450733764567870c4dcb6b.png
136,Soriana,supers/super_14507338575678712148a26.png
137,Seven Eleven,supers/super_14507394995678872beb405.jpg
138,Gnc,supers/super_145074529956789dd3394f4.jpg
139,Prepara En Casa,supers/super_15887230155eb1fd47bac0b.png
140,Prepara En Casa,supers/super_15887231955eb1fdfb33a91.png
141,Taquería Tradicional,supers/super_15929630675ef2affb35a0e.jpg
142,Mercadito Tradicional,supers/super_15929633325ef2b104c461d.jpg
